40 647
21 8 40
21 9 1
21 11 6
21 16 28
21 25 25
21 30 27
21 32 35
21 35 15
21 36 23
21 37 47
21 39 29
21 40 21
22 2 1
22 3 42
22 4 40
22 8 16
22 9 16
22 10 50
22 16 44
22 18 38
22 21 42
22 29 11
22 34 33
22 38 45
22 39 45
23 1 18
23 3 48
23 6 38
23 7 28
23 8 40
23 9 50
23 10 32
23 11 50
23 12 30
23 14 1
23 15 4
23 16 50
23 17 2
23 19 -2
23 21 6
23 22 14
23 29 31
23 30 39
23 31 11
23 34 29
23 36 5
23 37 9
23 38 9
23 39 25
23 40 15
24 3 48
24 4 34
24 5 -2
24 6 40
24 7 10
24 8 1
24 9 38
24 10 20
24 15 1
24 18 34
24 20 50
24 21 40
24 22 14
24 23 10
24 26 -1
24 33 29
25 1 18
25 4 38
25 5 14
25 9 44
25 11 12
25 14 1
25 16 26
25 17 26
25 19 42
25 20 40
25 22 8
25 23 1
25 26 25
25 27 43
25 28 27
25 29 3
25 30 19
25 36 19
26 3 42
26 4 30
26 5 42
26 10 48
26 11 38
26 12 32
26 13 14
26 14 6
26 17 46
26 18 12
26 20 44
26 22 28
26 28 37
26 29 47
26 30 43
26 32 11
26 33 15
26 39 33
26 40 -1
27 2 14
27 4 12
27 5 24
27 6 8
27 10 20
27 13 8
27 15 16
27 16 14
27 18 36
27 20 20
27 23 4
27 24 44
27 37 31
27 39 9
28 1 2
28 2 1
28 4 2
28 7 22
28 10 28
28 11 30
28 12 1
28 13 50
28 14 -2
28 15 -2
28 16 18
28 20 26
28 22 28
28 24 36
28 31 3
28 33 39
28 35 49
28 37 5
28 38 -1
28 39 13
28 40 7
29 1 -2
29 11 30
29 12 38
29 13 1
29 15 2
29 16 32
29 17 32
29 18 10
29 21 -2
29 24 22
29 28 36
29 30 17
29 31 35
29 34 1
29 40 43
30 3 2
30 6 16
30 8 16
30 10 6
30 13 30
30 14 8
30 16 30
30 20 30
30 22 20
30 27 28
30 28 26
30 32 43
30 35 13
30 36 45
30 39 33
31 2 6
31 5 28
31 6 42
31 9 28
31 16 48
31 18 10
31 19 8
31 20 48
31 21 4
31 22 46
31 24 28
31 25 46
31 30 50
31 33 27
31 35 25
31 36 5
31 37 1
32 1 28
32 2 20
32 8 34
32 9 1
32 10 6
32 11 6
32 14 32
32 16 14
32 17 38
32 18 44
32 22 50
32 25 48
32 28 24
32 29 26
32 31 48
32 33 17
32 35 41
32 37 25
33 2 46
33 5 8
33 7 1
33 15 22
33 18 20
33 20 8
33 21 32
33 22 20
33 25 30
33 27 34
33 30 22
33 35 -1
33 38 27
33 39 27
34 3 10
34 4 18
34 7 6
34 9 1
34 10 28
34 11 24
34 12 30
34 15 4
34 16 2
34 18 14
34 21 40
34 24 2
34 25 46
34 26 32
34 27 48
34 30 1
34 31 2
34 32 38
34 33 44
34 35 3
34 36 39
34 38 -1
34 39 35
35 1 26
35 4 4
35 7 34
35 14 2
35 15 18
35 17 18
35 18 38
35 22 44
35 23 12
35 24 48
35 25 32
35 26 14
35 27 34
35 29 6
35 37 21
35 38 49
35 39 31
36 2 28
36 3 16
36 6 16
36 7 12
36 8 44
36 14 4
36 17 30
36 18 8
36 22 22
36 24 38
36 26 48
36 27 28
36 28 42
36 29 30
36 32 48
36 33 36
36 37 3
36 39 25
37 1 10
37 3 18
37 8 40
37 9 28
37 11 34
37 13 42
37 17 24
37 18 10
37 19 42
37 22 30
37 24 24
37 25 46
37 26 2
37 29 46
37 33 22
37 38 37
38 1 20
38 3 48
38 6 42
38 8 6
38 9 10
38 14 32
38 16 28
38 19 2
38 21 34
38 24 16
38 25 10
38 29 14
38 30 42
38 32 24
38 36 26
38 40 31
39 1 28
39 3 30
39 5 32
39 8 44
39 10 6
39 12 30
39 14 40
39 17 38
39 19 8
39 20 36
39 24 24
39 29 38
39 31 14
39 32 12
39 37 16
39 38 20
40 4 48
40 5 38
40 6 24
40 11 40
40 15 28
40 16 2
40 17 18
40 18 16
40 22 36
40 24 38
40 25 28
40 27 14
40 30 8
40 32 46
40 34 2
40 35 28
40 37 46
40 39 22
